drugname,avg_rating,avg_sentiment,total_reviews,avg_useful_count,top_condition
Actemra,8.0,80.0,4,68.25,Rheumatoid Arthritis
Actifed,7.0,70.0,1,8.0,Allergic Rhinitis
Actiq,9.67,96.7,3,62.666666666666664,Pain
Activella,8.33,83.3,3,23.333333333333332,Postmenopausal Symptoms
ActoPlus Met,10.0,100.0,1,21.0,"Diabetes, Type 2"
Actonel,5.0,50.0,3,106.0,Osteoporosis
Actos,5.86,58.6,7,29.857142857142858,"Diabetes, Type 2"
Acular LS,9.0,90.0,1,14.0,Corneal Refractive Surgery
Acuvail,9.0,90.0,1,0.0,Postoperative Ocular Inflammation
Acyclovir,8.0,80.0,40,14.175,Herpes Simplex
Aczone,7.36,73.6,39,22.17948717948718,Acne
Adalat CC,7.0,70.0,1,57.0,High Blood Pressure
Adalimumab,6.84,68.4,87,30.28735632183908,Psoriasis
Adapalene,6.63,66.3,62,21.096774193548388,Acne
Adapalene / benzoyl peroxide,7.25,72.5,150,11.506666666666666,Acne
Adcirca,4.5,45.0,2,15.5,Pulmonary Hypertension
Adderall,8.0,80.0,72,43.5,ADHD
Adderall XR,8.77,87.7,35,27.771428571428572,ADHD
Addyi,10.0,100.0,1,57.0,Hypoactive Sexual Desire Disorde
Adenosine,9.0,90.0,2,15.0,Supraventricular Tachycardia
Adipex-P,8.89,88.9,115,61.65217391304348,Weight Loss
Adipost,9.0,90.0,1,100.0,Obesity
Adoxa,9.0,90.0,1,5.0,Acne
Advair Diskus,6.89,68.9,18,16.333333333333332,"Asthma, Maintenance"
Advair HFA,9.0,90.0,2,1.0,"Asthma, Maintenance"
Advicor,10.0,100.0,1,14.0,High Cholesterol
Advil,7.5,75.0,8,20.625,Headache
Advil Cold and Sinus,7.0,70.0,3,5.666666666666667,Sinus Symptoms
Advil Cold and Sinus Liqui-Gels,10.0,100.0,1,2.0,Sinus Symptoms
Advil Liqui-Gels,10.0,100.0,2,34.5,Pain
Adzenys XR-ODT,4.0,40.0,3,9.333333333333334,ADHD
Aerobid,10.0,100.0,1,11.0,Asthma
Afinitor,9.0,90.0,1,32.0,Breast Cance
Aflibercept,9.25,92.5,4,52.5,Macular Degeneration
Afrezza,7.25,72.5,8,33.0,"Diabetes, Type 1"
Afrin,4.15,41.5,13,4.923076923076923,Nasal Congestion
Afrin 4 Hour Extra Moisturizing,8.0,80.0,1,2.0,Nasal Congestion
Aftera,7.8,78.0,15,6.0,Emergency Contraception
Aggrenox,1.0,10.0,1,44.0,"Ischemic Stroke, Prophylaxis"
Alahist LQ,10.0,100.0,1,2.0,Allergic Rhinitis
Alavert D-12 Hour Allergy and Sinus,1.0,10.0,1,0.0,Allergic Rhinitis
Albendazole,8.0,80.0,1,8.0,Pinworm Infection (Enterobius vermicularis)
Albenza,8.0,80.0,1,28.0,Pinworm Infection (Enterobius vermicularis)
Albiglutide,7.0,70.0,2,3.0,"Diabetes, Type 2"
Albuterol,4.35,43.5,20,12.3,"Asthma, acute"
Albuterol / ipratropium,7.5,75.0,4,9.0,"COPD, Maintenance"
Alcaftadine,4.14,41.4,7,19.0,"Conjunctivitis, Allergic"
Alclometasone,9.0,90.0,1,3.0,Atopic Dermatitis
Aldactazide,9.0,90.0,1,29.0,Edema
Aldactone,10.0,100.0,3,34.666666666666664,Acne
Aldara,8.71,87.1,7,24.571428571428573,Basal Cell Carcinoma
Aldesleukin,10.0,100.0,1,13.0,Renal Cell Carcinoma
Alendronate,1.86,18.6,7,51.857142857142854,Prevention of Osteoporosis
Alesse,6.06,60.6,33,8.696969696969697,Birth Control
Aleve,4.65,46.5,20,30.6,Sciatica
Alfuzosin,6.6,66.0,10,32.0,Benign Prostatic Hyperplasia
Alirocumab,5.5,55.0,4,22.0,High Cholesterol
Aliskiren,6.83,68.3,6,19.166666666666668,High Blood Pressure
Aliskiren / hydrochlorothiazide,10.0,100.0,1,44.0,High Blood Pressure
Alka-Seltzer Plus Cold,5.0,50.0,1,2.0,Cold Symptoms
Allegra,6.87,68.7,15,18.733333333333334,Allergic Rhinitis
Allegra Allergy,1.0,10.0,1,2.0,Allergic Rhinitis
Allegra-D 12 Hour,9.0,90.0,1,8.0,Allergic Rhinitis
Allegra-D 24 Hour,6.0,60.0,3,10.333333333333334,Allergic Rhinitis
Allergy DN PE,10.0,100.0,1,4.0,Rhinitis
Allerx Dose Pack DF,9.0,90.0,2,4.0,Rhinitis
Alli,5.6,56.0,15,51.06666666666667,Obesity
Allopurinol,7.78,77.8,9,28.333333333333332,Gout
Almotriptan,9.0,90.0,9,7.222222222222222,Migraine
Alosetron,9.33,93.3,3,14.666666666666666,Irritable Bowel Syndrome
Alpha 1-proteinase inhibitor,10.0,100.0,1,11.0,Alpha-1 Proteinase Inhibitor Deficiency
Alphagan P,1.5,15.0,2,28.5,"Glaucoma, Open Angle"
Alprazolam,8.9,89.0,227,34.17621145374449,Anxiety
Alprazolam Intensol,9.0,90.0,1,59.0,Panic Disorde
Alprostadil,7.45,74.5,20,41.05,Erectile Dysfunction
Alrex,5.0,50.0,2,8.5,Postoperative Ocular Inflammation
Altabax,9.0,90.0,3,6.333333333333333,Impetig
Altace,9.33,93.3,3,69.33333333333333,High Blood Pressure
Altavera,3.0,30.0,1,2.0,Birth Control
Aluminum chloride hexahydrate,9.03,90.3,116,8.491379310344827,Hyperhidrosis
Aluminum hydroxide / magnesium hydroxide / simethicone,10.0,100.0,1,16.0,GERD
Alvesco,9.5,95.0,2,26.0,"Asthma, Maintenance"
AmLactin,10.0,100.0,1,37.0,Dry Skin
Amantadine,7.25,72.5,4,11.5,Parkinson's Disease
Amaryl,7.6,76.0,5,73.4,"Diabetes, Type 2"
Ambien,7.57,75.7,95,30.568421052631578,Insomnia
Ambien CR,6.53,65.3,15,20.866666666666667,Insomnia
Ambrisentan,8.0,80.0,5,13.2,Pulmonary Hypertension
Amcinonide,10.0,100.0,1,0.0,Dermatitis
Amerge,8.5,85.0,6,13.0,Migraine
Amethia,5.67,56.7,3,2.0,Birth Control
Amethia Lo,8.5,85.0,2,2.0,Birth Control
Amethyst,2.0,20.0,1,2.0,Birth Control
Amikacin,1.0,10.0,1,5.0,Cystic Fibrosis
Amiodarone,6.0,60.0,8,42.625,Arrhythmia
Amitiza,6.92,69.2,38,37.86842105263158,"Constipation, Chronic"
Amitriptyline,7.79,77.9,226,55.4646017699115,Migraine Prevention
Amitriptyline / chlordiazepoxide,9.0,90.0,1,20.0,Depression
Amitriptyline / perphenazine,9.5,95.0,2,12.0,Anxiety
Amlodipine,4.52,45.2,71,65.80281690140845,High Blood Pressure
Amlodipine / atorvastatin,5.5,55.0,2,10.5,High Blood Pressure
Amlodipine / benazepril,7.8,78.0,5,23.4,High Blood Pressure
Amlodipine / hydrochlorothiazide / olmesartan,6.75,67.5,4,21.0,High Blood Pressure
Amlodipine / olmesartan,8.42,84.2,19,18.63157894736842,High Blood Pressure
Amlodipine / telmisartan,9.5,95.0,2,17.0,High Blood Pressure
Amlodipine / valsartan,5.71,57.1,7,25.285714285714285,ge (amlodipine / valsartan)
Ammonium lactate,7.67,76.7,3,36.666666666666664,Dry Skin
Ammonium lactate / halobetasol,10.0,100.0,1,0.0,Psoriasis
Amnesteem,7.0,70.0,4,7.5,Acne
Amoxapine,9.5,95.0,2,30.0,Depression
Amoxicillin,6.78,67.8,32,37.15625,Bacterial Infection
Amoxicillin / clarithromycin / lansoprazole,7.08,70.8,13,17.307692307692307,Helicobacter Pylori Infection
Amoxicillin / clavulanate,5.69,56.9,103,19.07766990291262,Sinusitis
Amoxil,9.5,95.0,2,26.0,Skin or Soft Tissue Infection
Amphetamine,6.1,61.0,10,9.8,ADHD
Amphetamine / dextroamphetamine,8.03,80.3,130,32.715384615384615,ADHD
Ampyra,8.7,87.0,10,71.6,Multiple Sclerosis
Amrix,7.67,76.7,6,43.666666666666664,Muscle Spasm
Anacin,10.0,100.0,2,5.0,Pain
Anafranil,9.17,91.7,12,101.58333333333333,Obsessive Compulsive Disorde
Anakinra,10.0,100.0,1,4.0,Schnitzler Syndrome
Analpram-HC,10.0,100.0,1,20.0,Hemorrhoids
Anaprox,5.67,56.7,3,15.333333333333334,Back Pain
Anastrozole,4.94,49.4,35,76.94285714285714,Breast Cance
AndroGel,7.91,79.1,23,68.21739130434783,"Hypogonadism, Male"
Androderm,7.67,76.7,3,24.666666666666668,"Hypogonadism, Male"
Angeliq,9.33,93.3,6,31.666666666666668,Postmenopausal Symptoms
Angiomax,10.0,100.0,1,0.0,Percutaneous Coronary Intervention
Anoro Ellipta,9.6,96.0,5,37.6,COPD
Ansaid,8.0,80.0,1,2.0,Period Pain
Antabuse,8.69,86.9,16,92.1875,Alcohol Dependence
Antara,1.0,10.0,1,60.0,Hypertriglyceridemia
Anti-Diarrheal,10.0,100.0,2,16.5,Diarrhea
Antihemophilic factor,9.0,90.0,1,1.0,Hemophilia A
Antipyrine / benzocaine,10.0,100.0,2,17.0,Otitis Media
Anucort-HC,5.0,50.0,1,10.0,Hemorrhoids
Apidra,10.0,100.0,1,5.0,"Diabetes, Type 2"
Apixaban,6.0,60.0,8,44.375,Prevention of Thromboembolism in Atrial Fibrillation
Aplenzin,8.0,80.0,3,28.333333333333332,Depression
Apokyn,9.0,90.0,1,15.0,Parkinson's Disease
Apomorphine,7.0,70.0,3,8.0,Parkinson's Disease
Apremilast,5.26,52.6,50,20.24,Plaque Psoriasis
Aprepitant,10.0,100.0,2,11.5,"Nausea/Vomiting, Chemotherapy Induced"
Apri,6.27,62.7,66,6.863636363636363,Birth Control
Apriso,6.25,62.5,4,6.0,Crohn's Disease
Aptensio XR,7.33,73.3,3,5.333333333333333,ADHD
Aptiom,6.0,60.0,2,12.0,Seizures
Aranesp,9.0,90.0,2,35.0,"Anemia, Chemotherapy Induced"
Arava,6.83,68.3,6,100.0,Rheumatoid Arthritis
Arcalyst,10.0,100.0,1,10.0,amilial Cold Autoinflammatory Syndrome
Arformoterol,9.5,95.0,2,17.0,moterol)
Aricept,6.4,64.0,5,98.2,Alzheimer's Disease
Arimidex,5.56,55.6,16,94.1875,Breast Cance
Aripiprazole,6.78,67.8,165,37.90909090909091,Bipolar Disorde
Aristocort,9.0,90.0,1,0.0,Allergic Reactions
Aristocort A,10.0,100.0,1,24.0,Dermatitis
Aristospan,9.0,90.0,1,1.0,Rheumatoid Arthritis
Arixtra,9.0,90.0,2,9.5,Pulmonary Embolism
Armodafinil,7.61,76.1,66,22.515151515151516,Narcolepsy
Armour Thyroid,8.0,80.0,25,50.96,Underactive Thyroid
Arnuity Ellipta,8.0,80.0,1,11.0,"Asthma, Maintenance"
Aromasin,6.0,60.0,2,85.0,Breast Cance
Artane,10.0,100.0,1,8.0,Extrapyramidal Reaction
Arthrotec,8.0,80.0,7,56.142857142857146,Rheumatoid Arthritis
Asacol,8.07,80.7,14,22.142857142857142,"Ulcerative Colitis, Maintenance"
Asacol HD,8.4,84.0,5,9.8,"Ulcerative Colitis, Active"
Ascorbic acid,1.0,10.0,1,1.0,Dietary Supplementation
Asenapine,6.88,68.8,56,21.303571428571427,Bipolar Disorde
Ashlyna,4.25,42.5,8,2.5,Birth Control
Asmanex Twisthaler,7.75,77.5,4,12.25,"Asthma, Maintenance"
Aspirin,9.17,91.7,6,15.833333333333334,Back Pain
Aspirin / butalbital / caffeine,9.0,90.0,16,18.4375,Migraine
Aspirin / butalbital / caffeine / codeine,9.8,98.0,5,19.8,Headache
Aspirin / caffeine,10.0,100.0,1,3.0,Pain
Aspirin / caffeine / orphenadrine,7.5,75.0,4,5.5,Muscle Spasm
Aspirin / carisoprodol,8.75,87.5,4,13.5,Muscle Pain
Aspirin / carisoprodol / codeine,9.0,90.0,1,23.0,Muscle Spasm
Aspirin / dipyridamole,5.5,55.0,6,27.5,"Ischemic Stroke, Prophylaxis"
Aspirin / meprobamate,10.0,100.0,1,3.0,Anxiety
Aspirin / oxycodone,10.0,100.0,1,9.0,Pain
Astelin,8.33,83.3,3,26.0,Allergic Rhinitis
Astepro,7.75,77.5,4,19.25,Allergic Rhinitis
Asthmanefrin,10.0,100.0,1,9.0,"Asthma, acute"
Atacand,8.0,80.0,1,39.0,High Blood Pressure
Atarax,5.67,56.7,21,46.76190476190476,Anxiety
Atelvia,10.0,100.0,1,20.0,Osteoporosis
Atenolol,7.49,74.9,37,41.513513513513516,High Blood Pressure
Atenolol / chlorthalidone,9.5,95.0,2,7.0,High Blood Pressure
Ativan,8.05,80.5,81,50.864197530864196,Anxiety
Atomoxetine,5.58,55.8,85,32.0,ADHD
Atorvastatin,5.19,51.9,27,57.370370370370374,High Cholesterol
Atovaquone,10.0,100.0,1,0.0,Malaria
Atovaquone / proguanil,5.43,54.3,7,12.285714285714286,Malaria Prevention
Atralin,8.25,82.5,8,42.625,Acne
Atripla,9.0,90.0,23,13.434782608695652,HIV Infection
Atropine / difenoxin,10.0,100.0,1,19.0,"Diarrhea, Chronic"
Atropine / diphenoxylate,8.18,81.8,11,31.727272727272727,Diarrhea
Atropine / hyoscyamine / phenobarbital / scopolamine,9.88,98.8,8,34.125,Irritable Bowel Syndrome
Atrovent,9.0,90.0,1,13.0,Asthma
Atrovent Nasal,10.0,100.0,1,20.0,Rhinorrhea
Aubagio,6.4,64.0,5,37.6,Multiple Sclerosis
Aubra,4.97,49.7,32,2.3125,Birth Control
Augmentin,5.83,58.3,58,30.362068965517242,Sinusitis
Augmentin XR,10.0,100.0,1,24.0,Sinusitis
Avalide,9.5,95.0,2,7.5,High Blood Pressure
Avanafil,6.09,60.9,11,31.636363636363637,Erectile Dysfunction
Avandia,3.0,30.0,2,13.0,"Diabetes, Type 2"
Avapro,7.0,70.0,4,71.25,High Blood Pressure
Avastin,7.33,73.3,3,39.333333333333336,Glioblastoma Multiforme
Aveed,6.0,60.0,1,4.0,"Hypogonadism, Male"
Avelox,7.18,71.8,39,17.564102564102566,Sinusitis
Aviane,6.61,66.1,95,7.8,Birth Control
Avinza,8.8,88.0,10,26.6,Pain
Avodart,7.8,78.0,5,92.2,Benign Prostatic Hyperplasia
Avonex,8.0,80.0,8,16.625,Multiple Sclerosis
Avonex Pen,10.0,100.0,1,6.0,Multiple Sclerosis
Axert,7.4,74.0,5,7.0,Migraine
Axid,10.0,100.0,1,5.0,GERD
Axid AR,10.0,100.0,1,5.0,GERD
Axiron,7.89,78.9,19,37.21052631578947,"Hypogonadism, Male"
Ayr Saline Nasal,2.33,23.3,3,3.0,Nasal Congestion
Azacitidine,5.75,57.5,4,42.75,Myelodysplastic Syndrome
Azathioprine,6.14,61.4,21,20.095238095238095,Ulcerative Colitis
Azelaic acid,7.83,78.3,23,23.608695652173914,Rosacea
Azelastine,6.38,63.7,16,14.0,Allergic Rhinitis
Azelastine / fluticasone,7.11,71.1,19,9.631578947368421,Allergic Rhinitis
Azelex,8.0,80.0,2,11.0,Rosacea
Azilect,8.0,80.0,2,45.0,Parkinson's Disease
Azilsartan medoxomil,8.2,82.0,5,6.6,High Blood Pressure
Azilsartan medoxomil / chlorthalidone,7.33,73.3,3,6.333333333333333,High Blood Pressure
Azithromycin,7.24,72.4,178,15.230337078651685,Chlamydia Infection
Azithromycin Dose Pack,5.55,55.5,11,28.09090909090909,Sinusitis
Azo-Standard,8.0,80.0,3,16.666666666666668,Dysuria
Azopt,1.0,10.0,1,7.0,"Glaucoma, Open Angle"
Azor,7.92,79.2,13,21.692307692307693,High Blood Pressure
Azurette,7.33,73.3,3,1.3333333333333333,Birth Control
B & O Supprettes,10.0,100.0,2,50.0,Overactive Bladde
Bacitracin / neomycin / polymyxin b,8.5,85.0,2,5.5,Bacterial Skin Infection
Bacitracin / polymyxin b,1.0,10.0,1,2.0,Unknown
Baclofen,7.3,73.0,60,45.583333333333336,Muscle Spasm
Bactrim,6.1,61.0,61,26.278688524590162,Urinary Tract Infection
Bactrim DS,6.29,62.9,35,22.4,Urinary Tract Infection
Bactroban,8.33,83.3,3,22.666666666666668,Skin and Structure Infection
Balacet,4.5,45.0,2,31.5,Pain
Balsalazide,9.0,90.0,4,12.25,Crohn's Disease
Balsam peru / castor oil / trypsin,10.0,100.0,1,1.0,Dermatologic Lesion
Balziva,10.0,100.0,2,2.0,Birth Control
Banzel,10.0,100.0,2,12.0,Lennox-Gastaut Syndrome
Barium sulfate,6.67,66.7,3,16.333333333333332,Computed Tomography
Basaglar,4.0,40.0,1,7.0,"Diabetes, Type 1"
Bayer Aspirin,7.0,70.0,1,7.0,Heart Attack
Bazedoxifene / conjugated estrogens,6.0,60.0,3,9.0,Postmenopausal Symptoms
Beclomethasone,5.33,53.3,12,13.75,"Asthma, Maintenance"
Belbuca,3.46,34.6,13,23.615384615384617,Chronic Pain
Belimumab,7.2,72.0,5,20.8,Systemic Lupus Erythematosus
Belladonna / opium,10.0,100.0,1,2.0,Overactive Bladde
Belsomra,3.53,35.3,76,25.68421052631579,Insomnia
Belviq,8.12,81.2,192,60.046875,Weight Loss
Benadryl,6.5,65.0,4,31.25,Allergic Reactions
Benadryl Allergy,5.67,56.7,6,17.166666666666668,Allergic Reactions
Benazepril,3.0,30.0,2,16.0,High Blood Pressure
Benazepril / hydrochlorothiazide,5.0,50.0,1,3.0,High Blood Pressure
Benicar,8.24,82.4,25,46.36,High Blood Pressure
Benicar HCT,7.33,73.3,6,16.166666666666668,High Blood Pressure
Benlysta,7.0,70.0,4,15.5,Systemic Lupus Erythematosus
Bensal HP,10.0,100.0,2,19.5,Dermatological Disorders
Bentyl,7.53,75.3,19,43.10526315789474,Irritable Bowel Syndrome
BenzEFoam,10.0,100.0,1,17.0,Acne
BenzEFoam Ultra,10.0,100.0,1,7.0,Acne
Benzaclin,8.83,88.3,12,11.083333333333334,Acne
Benzocaine,7.33,73.3,6,5.5,Pruritus
Benzoic acid / salicylic acid,10.0,100.0,1,10.0,Dermatological Disorders
Benzonatate,4.7,47.0,71,19.901408450704224,Cough
Benzoyl peroxide,7.25,72.5,4,11.25,Acne
Benzoyl peroxide / clindamycin,8.43,84.3,94,12.425531914893616,Acne
Benzoyl peroxide / erythromycin,7.6,76.0,5,15.0,Acne
Benzoyl peroxide / sulfur,10.0,100.0,1,3.0,Acne
Benzphetamine,9.67,96.7,3,28.0,Obesity
Benztropine,5.0,50.0,2,4.5,Extrapyramidal Reaction
Bepotastine,10.0,100.0,5,3.8,"Conjunctivitis, Allergic"
Bepreve,10.0,100.0,2,4.0,"Conjunctivitis, Allergic"
Berinert,10.0,100.0,1,0.0,Hereditary Angioedema
Betamethasone,8.33,83.3,6,9.333333333333334,Atopic Dermatitis
Betamethasone / calcipotriene,7.06,70.6,16,9.125,Psoriasis
Betapace,5.0,50.0,1,5.0,Ventricular Arrhythmia
Betaseron,8.0,80.0,2,23.5,Multiple Sclerosis
Bethanechol,10.0,100.0,1,26.0,Urinary Retention
Bevacizumab,9.67,96.7,3,24.0,me
Bextra,9.67,96.7,3,3.0,Pain
Beyaz,6.29,62.9,35,12.657142857142857,Birth Control
Biafine,10.0,100.0,1,10.0,10</span> users found this comment helpful.
Biaxin,5.95,59.5,21,27.80952380952381,Sinusitis
Biaxin XL,7.0,70.0,3,12.0,Pneumonia
Bicalutamide,8.67,86.7,3,53.0,Prostate Cance
Bicillin L-A,8.0,80.0,1,18.0,"Lyme Disease, Neurologic"
Bimatoprost,7.5,75.0,2,9.0,Eyelash Hypotrichosis
Bioflavonoids / zinc glycinate,8.0,80.0,1,11.0,Osteoarthritis
Biotin,5.2,52.0,5,16.8,Dietary Supplementation
Bisacodyl,5.66,56.6,204,9.882352941176471,Constipation
Bisacodyl / polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride,9.0,90.0,2,20.5,Bowel Preparation
Bismuth subcitrate potassium / metronidazole / tetracycline,7.47,74.7,17,19.58823529411765,Helicobacter Pylori Infection
Bismuth subgallate,10.0,100.0,1,4.0,Gas
Bismuth subsalicylate,9.75,97.5,8,9.75,Diarrhea
Bisoprolol,6.0,60.0,3,26.0,Heart Failure
Bisoprolol / hydrochlorothiazide,7.12,71.2,8,10.25,High Blood Pressure
Blisovi 24 Fe,2.6,26.0,30,3.466666666666667,Birth Control
Blisovi Fe 1 / 20,4.0,40.0,14,1.9285714285714286,Birth Control
Blistex,8.0,80.0,1,9.0,Herpes Simplex
Bonine,8.67,86.7,9,29.11111111111111,Motion Sickness
Boniva,4.0,40.0,3,49.666666666666664,Osteoporosis
Bontril Slow Release,8.64,86.4,11,54.18181818181818,Obesity
Bosutinib,10.0,100.0,1,0.0,Chronic Myelogenous Leukemia
Botox,6.78,67.8,49,36.93877551020408,Overactive Bladde
Botox Cosmetic,6.5,65.0,2,7.0,acial Wrinkles
Breo Ellipta,6.62,66.2,13,12.538461538461538,Asthma
Brexpiprazole,6.36,63.6,25,27.24,Major Depressive Disorde
Brilinta,7.0,70.0,5,29.0,Acute Coronary Syndrome
Brimonidine,2.68,26.8,28,13.428571428571429,Rosacea
Brimonidine / timolol,7.0,70.0,2,15.0,Glaucoma
Brisdelle,6.25,62.5,8,32.125,Hot Flashes
Brivaracetam,1.0,10.0,1,1.0,Seizures
Briviact,8.0,80.0,1,8.0,Seizures
Brodalumab,10.0,100.0,1,0.0,Plaque Psoriasis
Bromfed DM,6.75,67.5,4,13.25,Cough and Nasal Congestion
Bromocriptine,5.0,50.0,6,11.833333333333334,Hyperprolactinemia
Brompheniramine,9.67,96.7,3,4.333333333333333,Allergic Rhinitis
Brompheniramine / dextromethorphan / pseudoephedrine,7.0,70.0,3,10.333333333333334,Cough and Nasal Congestion
Bronkaid,10.0,100.0,1,5.0,Cold Symptoms
Brovana,9.5,95.0,2,27.5,"COPD, Maintenance"
BuSpar,6.37,63.7,82,83.32926829268293,Anxiety
Budeprion SR,8.0,80.0,2,5.5,Depression
Budeprion XL,3.67,36.7,3,21.666666666666668,Depression
Budesonide,7.08,70.8,12,21.75,Allergic Rhinitis
Budesonide / formoterol,8.1,81.0,30,35.166666666666664,moterol)
Bumetanide,8.0,80.0,2,36.5,Edema
Bunavail,6.2,62.0,10,15.2,Opiate Dependence
Bupivacaine,7.5,75.0,2,4.5,Postoperative Pain
Bupivacaine liposome,10.0,100.0,1,4.0,Pain
Buprenex,10.0,100.0,1,15.0,Pain
Buprenorphine,7.27,72.7,77,35.20779220779221,Chronic Pain
Buprenorphine / naloxone,8.41,84.1,170,28.511764705882353,Opiate Dependence
Buproban,9.5,95.0,2,49.5,Smoking Cessation
Bupropion,7.58,75.8,347,46.11815561959654,Depression
Bupropion / naltrexone,6.57,65.7,299,21.94314381270903,Obesity
Buspirone,6.82,68.2,152,69.10526315789474,Anxiety
Butabarbital,9.0,90.0,1,9.0,Insomnia
Butorphanol,5.62,56.2,16,14.1875,Pain
Butrans,6.7,67.0,40,49.575,Chronic Pain
Bydureon,6.67,66.7,36,23.02777777777778,"Diabetes, Type 2"
Byetta,7.61,76.1,18,25.38888888888889,"Diabetes, Type 2"
Bystolic,6.75,67.5,36,48.138888888888886,High Blood Pressure
Cabergoline,7.14,71.4,7,21.285714285714285,Hyperprolactinemia
Cafergot,7.5,75.0,4,5.5,Migraine
Caffeine,8.6,86.0,5,16.2,Hypersomnia
Caffeine / ergotamine,9.67,96.7,3,8.0,Migraine
Calamine,10.0,100.0,1,29.0,Pruritus
Calan SR,7.0,70.0,1,19.0,Arrhythmia
Calci-Chew,8.0,80.0,1,5.0,Osteoporosis
Calcipotriene,7.8,78.0,5,26.6,Psoriasis
Calcitonin,1.0,10.0,1,47.0,Osteoporosis
Calcitriol,8.33,83.3,3,2.6666666666666665,Hypocalcemia
Calcium acetate,3.0,30.0,1,0.0,Hyperphosphatemia
Calcium carbonate,6.33,63.3,3,0.6666666666666666,Indigestion
Calmoseptine,10.0,100.0,2,9.5,Diaper Rash
Caltrate 600+D,9.0,90.0,1,15.0,Osteoporosis
